model,threshold,accuracy,precision,recall,sensitivity,specificity,f1_score,false_positive_rate,false_negative_rate,true_positives,false_positives,true_negatives,false_negatives,articles_flagged_for_review,review_workload_pct,workload_reduction_pct,total_positives,total_negatives,total_samples,model_key
Logistic Regression,0.98,0.6712328767123288,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,49,24,0,0.0,100.0,24,49,73,logistic_regression
Linear SVM (Calibrated),0.02,0.3287671232876712,0.3287671232876712,1.0,1.0,0.0,0.4948453608247423,1.0,0.0,24,49,0,0,73,100.0,0.0,24,49,73,linear_svc
Linear SVM (Calibrated),0.04,0.3972602739726027,0.35294117647058826,1.0,1.0,0.10204081632653061,0.5217391304347826,0.8979591836734694,0.0,24,44,5,0,68,93.15068493150685,6.8493150684931505,24,49,73,linear_svc
Linear SVM (Calibrated),0.06,0.4931506849315068,0.39344262295081966,1.0,1.0,0.24489795918367346,0.5647058823529412,0.7551020408163265,0.0,24,37,12,0,61,83.56164383561644,16.43835616438356,24,49,73,linear_svc
Linear SVM (Calibrated),0.08,0.5616438356164384,0.42592592592592593,0.9583333333333334,0.9583333333333334,0.3673469387755102,0.5897435897435898,0.6326530612244898,0.041666666666666664,23,31,18,1,54,73.97260273972603,26.027397260273972,24,49,73,linear_svc
Linear SVM (Calibrated),0.1,0.589041095890411,0.4423076923076923,0.9583333333333334,0.9583333333333334,0.40816326530612246,0.6052631578947368,0.5918367346938775,0.041666666666666664,23,29,20,1,52,71.23287671232876,28.767123287671232,24,49,73,linear_svc
Linear SVM (Calibrated),0.12,0.6164383561643836,0.46,0.9583333333333334,0.9583333333333334,0.4489795918367347,0.6216216216216216,0.5510204081632653,0.041666666666666664,23,27,22,1,50,68.4931506849315,31.506849315068493,24,49,73,linear_svc
Linear SVM (Calibrated),0.14,0.6164383561643836,0.46,0.9583333333333334,0.9583333333333334,0.4489795918367347,0.6216216216216216,0.5510204081632653,0.041666666666666664,23,27,22,1,50,68.4931506849315,31.506849315068493,24,49,73,linear_svc
Linear SVM (Calibrated),0.16,0.6438356164383562,0.4791666666666667,0.9583333333333334,0.9583333333333334,0.4897959183673469,0.6388888888888888,0.5102040816326531,0.041666666666666664,23,25,24,1,48,65.75342465753424,34.24657534246575,24,49,73,linear_svc
Linear SVM (Calibrated),0.18,0.6986301369863014,0.5238095238095238,0.9166666666666666,0.9166666666666666,0.5918367346938775,0.6666666666666666,0.40816326530612246,0.08333333333333333,22,20,29,2,42,57.534246575342465,42.465753424657535,24,49,73,linear_svc
Linear SVM (Calibrated),0.2,0.726027397260274,0.55,0.9166666666666666,0.9166666666666666,0.6326530612244898,0.6875,0.3673469387755102,0.08333333333333333,22,18,31,2,40,54.794520547945204,45.20547945205479,24,49,73,linear_svc
Linear SVM (Calibrated),0.22,0.7397260273972602,0.5641025641025641,0.9166666666666666,0.9166666666666666,0.6530612244897959,0.6984126984126984,0.3469387755102041,0.08333333333333333,22,17,32,2,39,53.42465753424658,46.57534246575342,24,49,73,linear_svc
Linear SVM (Calibrated),0.24,0.7534246575342466,0.5789473684210527,0.9166666666666666,0.9166666666666666,0.673469387755102,0.7096774193548387,0.32653061224489793,0.08333333333333333,22,16,33,2,38,52.054794520547944,47.94520547945205,24,49,73,linear_svc
Linear SVM (Calibrated),0.26,0.7671232876712328,0.6,0.875,0.875,0.7142857142857143,0.711864406779661,0.2857142857142857,0.125,21,14,35,3,35,47.94520547945205,52.054794520547944,24,49,73,linear_svc
Linear SVM (Calibrated),0.28,0.7671232876712328,0.6060606060606061,0.8333333333333334,0.8333333333333334,0.7346938775510204,0.7017543859649122,0.2653061224489796,0.16666666666666666,20,13,36,4,33,45.20547945205479,54.794520547945204,24,49,73,linear_svc
Linear SVM (Calibrated),0.3,0.7534246575342466,0.59375,0.7916666666666666,0.7916666666666666,0.7346938775510204,0.6785714285714286,0.2653061224489796,0.20833333333333334,19,13,36,5,32,43.83561643835616,56.16438356164384,24,49,73,linear_svc
Linear SVM (Calibrated),0.32,0.7534246575342466,0.59375,0.7916666666666666,0.7916666666666666,0.7346938775510204,0.6785714285714286,0.2653061224489796,0.20833333333333334,19,13,36,5,32,43.83561643835616,56.16438356164384,24,49,73,linear_svc
Linear SVM (Calibrated),0.34,0.7534246575342466,0.59375,0.7916666666666666,0.7916666666666666,0.7346938775510204,0.6785714285714286,0.2653061224489796,0.20833333333333334,19,13,36,5,32,43.83561643835616,56.16438356164384,24,49,73,linear_svc
Linear SVM (Calibrated),0.36,0.7534246575342466,0.59375,0.7916666666666666,0.7916666666666666,0.7346938775510204,0.6785714285714286,0.2653061224489796,0.20833333333333334,19,13,36,5,32,43.83561643835616,56.16438356164384,24,49,73,linear_svc
Linear SVM (Calibrated),0.38,0.7534246575342466,0.59375,0.7916666666666666,0.7916666666666666,0.7346938775510204,0.6785714285714286,0.2653061224489796,0.20833333333333334,19,13,36,5,32,43.83561643835616,56.16438356164384,24,49,73,linear_svc
Linear SVM (Calibrated),0.4,0.7808219178082192,0.6333333333333333,0.7916666666666666,0.7916666666666666,0.7755102040816326,0.7037037037037037,0.22448979591836735,0.20833333333333334,19,11,38,5,30,41.0958904109589,58.9041095890411,24,49,73,linear_svc
Linear SVM (Calibrated),0.42,0.7671232876712328,0.6206896551724138,0.75,0.75,0.7755102040816326,0.6792452830188679,0.22448979591836735,0.25,18,11,38,6,29,39.726027397260275,60.273972602739725,24,49,73,linear_svc
Linear SVM (Calibrated),0.44,0.7808219178082192,0.6428571428571429,0.75,0.75,0.7959183673469388,0.6923076923076923,0.20408163265306123,0.25,18,10,39,6,28,38.35616438356164,61.64383561643836,24,49,73,linear_svc
Linear SVM (Calibrated),0.46,0.7808219178082192,0.6428571428571429,0.75,0.75,0.7959183673469388,0.6923076923076923,0.20408163265306123,0.25,18,10,39,6,28,38.35616438356164,61.64383561643836,24,49,73,linear_svc
Linear SVM (Calibrated),0.48,0.7808219178082192,0.6428571428571429,0.75,0.75,0.7959183673469388,0.6923076923076923,0.20408163265306123,0.25,18,10,39,6,28,38.35616438356164,61.64383561643836,24,49,73,linear_svc
Linear SVM (Calibrated),0.5,0.7671232876712328,0.6296296296296297,0.7083333333333334,0.7083333333333334,0.7959183673469388,0.6666666666666666,0.20408163265306123,0.2916666666666667,17,10,39,7,27,36.986301369863014,63.013698630136986,24,49,73,linear_svc
